ObservationDate,Country/Region,Confirmed,Deaths,Recovered
02/05/2020,Hong Kong,21.0,1.0,0.0
02/05/2020,India,3.0,0.0,0.0
02/05/2020,Italy,2.0,0.0,0.0
02/05/2020,Japan,22.0,0.0,1.0
02/05/2020,Macau,10.0,0.0,0.0
02/05/2020,Mainland China,27409.0,562.0,1115.0
02/05/2020,Malaysia,12.0,0.0,0.0
02/05/2020,Nepal,1.0,0.0,0.0
02/05/2020,Philippines,2.0,1.0,0.0
02/05/2020,Russia,2.0,0.0,0.0
02/05/2020,Singapore,28.0,0.0,0.0
02/05/2020,South Korea,19.0,0.0,0.0
02/05/2020,Spain,1.0,0.0,0.0
02/05/2020,Sri Lanka,1.0,0.0,0.0
02/05/2020,Sweden,1.0,0.0,0.0
02/05/2020,Taiwan,11.0,0.0,0.0
02/05/2020,Thailand,25.0,0.0,5.0
02/05/2020,UK,2.0,0.0,0.0
02/05/2020,US,12.0,0.0,0.0
02/05/2020,United Arab Emirates,5.0,0.0,0.0
02/05/2020,Vietnam,8.0,0.0,1.0
02/06/2020,Australia,14.0,0.0,2.0
02/06/2020,Belgium,1.0,0.0,0.0
02/06/2020,Cambodia,1.0,0.0,0.0
02/06/2020,Canada,5.0,0.0,0.0
02/06/2020,Finland,1.0,0.0,0.0
02/06/2020,France,6.0,0.0,0.0
02/06/2020,Germany,12.0,0.0,0.0
02/06/2020,Hong Kong,24.0,1.0,0.0
02/06/2020,India,3.0,0.0,0.0
02/06/2020,Italy,2.0,0.0,0.0
02/06/2020,Japan,45.0,0.0,1.0
02/06/2020,Macau,10.0,0.0,1.0
02/06/2020,Mainland China,30553.0,632.0,1476.0
02/06/2020,Malaysia,12.0,0.0,0.0
02/06/2020,Nepal,1.0,0.0,0.0
02/06/2020,Philippines,2.0,1.0,0.0
02/06/2020,Russia,2.0,0.0,0.0
02/06/2020,Singapore,28.0,0.0,0.0
02/06/2020,South Korea,23.0,0.0,0.0
02/06/2020,Spain,1.0,0.0,0.0
02/06/2020,Sri Lanka,1.0,0.0,0.0
02/06/2020,Sweden,1.0,0.0,0.0
02/06/2020,Taiwan,16.0,0.0,1.0
02/06/2020,Thailand,25.0,0.0,5.0
02/06/2020,UK,2.0,0.0,0.0
02/06/2020,US,12.0,0.0,0.0
02/06/2020,United Arab Emirates,5.0,0.0,0.0
02/06/2020,Vietnam,10.0,0.0,1.0
02/07/2020,Australia,15.0,0.0,2.0
02/07/2020,Belgium,1.0,0.0,0.0
02/07/2020,Cambodia,1.0,0.0,0.0
02/07/2020,Canada,7.0,0.0,0.0
02/07/2020,Finland,1.0,0.0,0.0
02/07/2020,France,6.0,0.0,0.0
02/07/2020,Germany,13.0,0.0,0.0
02/07/2020,Hong Kong,25.0,1.0,0.0
02/07/2020,India,3.0,0.0,0.0
02/07/2020,Italy,3.0,0.0,0.0
02/07/2020,Japan,25.0,0.0,1.0
02/07/2020,Macau,10.0,0.0,1.0
02/07/2020,Mainland China,34075.0,717.0,1998.0
02/07/2020,Malaysia,12.0,0.0,1.0
02/07/2020,Nepal,1.0,0.0,0.0
02/07/2020,Others,61.0,0.0,0.0
02/07/2020,Philippines,3.0,1.0,0.0
02/07/2020,Russia,2.0,0.0,0.0
02/07/2020,Singapore,30.0,0.0,0.0
02/07/2020,South Korea,24.0,0.0,1.0
02/07/2020,Spain,1.0,0.0,0.0
02/07/2020,Sri Lanka,1.0,0.0,0.0
02/07/2020,Sweden,1.0,0.0,0.0
02/07/2020,Taiwan,16.0,0.0,1.0
02/07/2020,Thailand,25.0,0.0,5.0
02/07/2020,UK,3.0,0.0,0.0
02/07/2020,US,12.0,0.0,0.0
02/07/2020,United Arab Emirates,5.0,0.0,0.0
02/07/2020,Vietnam,10.0,0.0,1.0
02/08/2020,Australia,15.0,0.0,2.0
02/08/2020,Belgium,1.0,0.0,0.0
02/08/2020,Cambodia,1.0,0.0,0.0
02/08/2020,Canada,7.0,0.0,0.0
02/08/2020,Finland,1.0,0.0,0.0
02/08/2020,France,11.0,0.0,0.0
02/08/2020,Germany,13.0,0.0,0.0
02/08/2020,Hong Kong,26.0,1.0,0.0
02/08/2020,India,3.0,0.0,0.0
02/08/2020,Italy,3.0,0.0,0.0
02/08/2020,Japan,25.0,0.0,1.0
02/08/2020,Macau,10.0,0.0,1.0
02/08/2020,Mainland China,36778.0,804.0,2595.0
02/08/2020,Malaysia,16.0,0.0,1.0
02/08/2020,Nepal,1.0,0.0,0.0
02/08/2020,Others,61.0,0.0,0.0
02/08/2020,Philippines,3.0,1.0,0.0
02/08/2020,Russia,2.0,0.0,0.0
02/08/2020,Singapore,33.0,0.0,2.0
02/08/2020,South Korea,24.0,0.0,1.0
02/08/2020,Spain,1.0,0.0,0.0
02/08/2020,Sri Lanka,1.0,0.0,1.0
02/08/2020,Sweden,1.0,0.0,0.0
02/08/2020,Taiwan,17.0,0.0,1.0
02/08/2020,Thailand,32.0,0.0,10.0
02/08/2020,UK,3.0,0.0,0.0
02/08/2020,US,12.0,0.0,0.0
02/08/2020,United Arab Emirates,7.0,0.0,0.0
02/08/2020,Vietnam,13.0,0.0,1.0
02/09/2020,Australia,15.0,0.0,2.0
02/09/2020,Belgium,1.0,0.0,0.0
02/09/2020,Cambodia,1.0,0.0,0.0
02/09/2020,Canada,7.0,0.0,0.0
02/09/2020,Finland,1.0,0.0,0.0
02/09/2020,France,11.0,0.0,0.0
02/09/2020,Germany,14.0,0.0,0.0
02/09/2020,Hong Kong,29.0,1.0,0.0
02/09/2020,India,3.0,0.0,0.0
02/09/2020,Italy,3.0,0.0,0.0
02/09/2020,Japan,26.0,0.0,1.0
02/09/2020,Macau,10.0,0.0,1.0
02/09/2020,Mainland China,39790.0,904.0,3218.0
02/09/2020,Malaysia,16.0,0.0,1.0
02/09/2020,Nepal,1.0,0.0,0.0
02/09/2020,Others,64.0,0.0,0.0
02/09/2020,Philippines,3.0,1.0,0.0
02/09/2020,Russia,2.0,0.0,0.0
02/09/2020,Singapore,40.0,0.0,2.0
02/09/2020,South Korea,25.0,0.0,3.0
02/09/2020,Spain,2.0,0.0,0.0
02/09/2020,Sri Lanka,1.0,0.0,1.0
02/09/2020,Sweden,1.0,0.0,0.0
02/09/2020,Taiwan,18.0,0.0,1.0
02/09/2020,Thailand,32.0,0.0,10.0
02/09/2020,UK,3.0,0.0,0.0
02/09/2020,US,12.0,0.0,3.0
02/09/2020,United Arab Emirates,7.0,0.0,0.0
02/09/2020,Vietnam,13.0,0.0,1.0
02/10/2020,Australia,15.0,0.0,2.0
02/10/2020,Belgium,1.0,0.0,0.0
02/10/2020,Cambodia,1.0,0.0,0.0
02/10/2020,Canada,7.0,0.0,0.0
02/10/2020,Finland,1.0,0.0,0.0
02/10/2020,France,11.0,0.0,0.0
02/10/2020,Germany,14.0,0.0,0.0
02/10/2020,Hong Kong,38.0,1.0,0.0
02/10/2020,India,3.0,0.0,0.0
02/10/2020,Italy,3.0,0.0,0.0
02/10/2020,Japan,26.0,0.0,4.0
02/10/2020,Macau,10.0,0.0,1.0
02/10/2020,Mainland China,42306.0,1011.0,3917.0
02/10/2020,Malaysia,18.0,0.0,1.0
02/10/2020,Nepal,1.0,0.0,0.0
02/10/2020,Others,135.0,0.0,0.0
02/10/2020,Philippines,3.0,1.0,0.0
02/10/2020,Russia,2.0,0.0,0.0
02/10/2020,Singapore,45.0,0.0,2.0
02/10/2020,South Korea,27.0,0.0,3.0
02/10/2020,Spain,2.0,0.0,0.0
02/10/2020,Sri Lanka,1.0,0.0,1.0
02/10/2020,Sweden,1.0,0.0,0.0
02/10/2020,Taiwan,18.0,0.0,1.0
02/10/2020,Thailand,32.0,0.0,10.0
02/10/2020,UK,8.0,0.0,0.0
02/10/2020,US,12.0,0.0,3.0
02/10/2020,United Arab Emirates,8.0,0.0,0.0
02/10/2020,Vietnam,14.0,0.0,1.0
02/11/2020,Australia,15.0,0.0,2.0
02/11/2020,Belgium,1.0,0.0,0.0
02/11/2020,Cambodia,1.0,0.0,0.0
02/11/2020,Canada,7.0,0.0,0.0
02/11/2020,Finland,1.0,0.0,0.0
02/11/2020,France,11.0,0.0,0.0
02/11/2020,Germany,16.0,0.0,0.0
02/11/2020,Hong Kong,49.0,1.0,0.0
02/11/2020,India,3.0,0.0,0.0
02/11/2020,Italy,3.0,0.0,0.0
02/11/2020,Japan,26.0,0.0,9.0
02/11/2020,Macau,10.0,0.0,1.0
02/11/2020,Mainland China,44327.0,1111.0,4635.0
02/11/2020,Malaysia,18.0,0.0,3.0
02/11/2020,Nepal,1.0,0.0,0.0
02/11/2020,Others,135.0,0.0,0.0
02/11/2020,Philippines,3.0,1.0,0.0
02/11/2020,Russia,2.0,0.0,0.0
02/11/2020,Singapore,47.0,0.0,9.0
02/11/2020,South Korea,28.0,0.0,3.0
02/11/2020,Spain,2.0,0.0,0.0
02/11/2020,Sri Lanka,1.0,0.0,1.0
02/11/2020,Sweden,1.0,0.0,0.0
02/11/2020,Taiwan,18.0,0.0,1.0
02/11/2020,Thailand,33.0,0.0,10.0
02/11/2020,UK,8.0,0.0,0.0
02/11/2020,US,13.0,0.0,3.0
02/11/2020,United Arab Emirates,8.0,0.0,0.0
02/11/2020,Vietnam,15.0,0.0,6.0
02/12/2020,Australia,15.0,0.0,2.0
02/12/2020,Belgium,1.0,0.0,0.0
02/12/2020,Cambodia,1.0,0.0,1.0
02/12/2020,Canada,7.0,0.0,1.0
02/12/2020,Finland,1.0,0.0,1.0
02/12/2020,France,11.0,0.0,2.0
02/12/2020,Germany,16.0,0.0,0.0
02/12/2020,Hong Kong,50.0,1.0,1.0
02/12/2020,India,3.0,0.0,0.0
02/12/2020,Italy,3.0,0.0,0.0
02/12/2020,Japan,28.0,0.0,9.0
02/12/2020,Macau,10.0,0.0,2.0
02/12/2020,Mainland China,44699.0,1116.0,5079.0
02/12/2020,Malaysia,18.0,0.0,3.0
02/12/2020,Nepal,1.0,0.0,1.0
02/12/2020,Others,175.0,0.0,0.0
02/12/2020,Philippines,3.0,1.0,1.0
02/12/2020,Russia,2.0,0.0,2.0
02/12/2020,Singapore,50.0,0.0,15.0
02/12/2020,South Korea,28.0,0.0,7.0
02/12/2020,Spain,2.0,0.0,0.0
02/12/2020,Sri Lanka,1.0,0.0,1.0
